service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
24,0,0,0,0,0,1,0,20241109,20241207
68,1,1,1,1,1,0,0,20241105,20241129
69,0,0,0,0,0,1,0,20241109,20241130
70,0,0,0,0,1,0,0,20241108,20241129
71,1,1,1,1,1,0,1,20241105,20241201
101,0,0,0,0,0,0,1,20241110,20250216
104,1,0,0,0,0,0,0,20241111,20250217
105,0,1,0,0,0,0,0,20241105,20250218
106,0,0,1,0,0,0,0,20241106,20250219
107,0,0,0,1,0,0,0,20241107,20250220
108,0,0,0,0,1,0,0,20241108,20250221
109,0,0,0,0,0,1,0,20241109,20250222
110,0,0,0,0,0,0,0,20250203,20250203
111,0,0,0,0,0,0,0,20250101,20250101
112,0,0,0,0,0,0,0,20241226,20241226
114,0,0,1,0,0,0,0,20241106,20241106
143,0,0,0,0,0,1,0,20241109,20250208
144,1,0,0,0,0,0,0,20241111,20250127
145,0,1,0,0,0,0,0,20241105,20250204
146,0,0,1,0,0,0,0,20241106,20250205
147,0,0,0,1,0,0,0,20241107,20250206
148,0,0,0,0,1,0,0,20241108,20250207
149,0,0,0,0,0,0,0,20241224,20241231
150,0,0,0,0,0,0,0,20250102,20250102
151,0,0,0,0,0,0,0,20241227,20250103
152,0,0,0,0,0,0,0,20241223,20241230
153,0,0,0,0,0,0,1,20241110,20250202
163,1,1,1,1,1,0,0,20241105,20241206
164,0,0,0,0,1,0,0,20241108,20241206
169,1,0,0,0,0,0,0,20250106,20250630
170,0,1,0,0,0,0,0,20241105,20250624
171,0,0,1,0,0,0,0,20241106,20241218
172,0,0,0,1,0,0,0,20241107,20250102
173,0,0,0,0,1,0,0,20241108,20250103
174,1,0,0,0,0,0,0,20241111,20241230
175,0,1,0,0,0,0,0,20241112,20241231
176,0,0,0,0,0,0,0,20241224,20241224
177,0,0,1,0,0,0,0,20250108,20250625
178,0,0,0,1,0,0,0,20250109,20250626
179,0,0,0,0,1,0,0,20250110,20250627
180,0,0,0,0,0,1,0,20241109,20250104
181,0,0,0,0,0,1,0,20250111,20250628
182,0,0,0,0,0,0,1,20250112,20250629
183,0,0,0,0,0,0,1,20241110,20250105
184,1,1,1,1,1,0,0,20241105,20241115
185,0,0,0,0,0,1,0,20241109,20241116
186,0,0,0,0,0,0,1,20241110,20241110
187,0,0,0,0,0,0,0,20241217,20250415
188,0,0,0,0,0,0,0,20241218,20250416
189,0,0,0,0,0,0,0,20241122,20250418
190,0,0,0,0,0,0,0,20241121,20250417
191,1,0,0,0,0,0,0,20241111,20250303
192,0,1,0,0,0,0,0,20241105,20250304
193,0,0,0,0,0,1,0,20241109,20250419
194,0,0,1,0,0,0,0,20241106,20250305
195,0,0,0,1,0,0,0,20241107,20250306
196,0,0,0,0,1,0,0,20241108,20250307
197,0,0,0,0,0,0,0,20241216,20250414
198,0,0,0,0,0,1,0,20241228,20250308
199,0,0,0,0,0,0,1,20241110,20250420
211,0,0,0,0,0,0,1,20241110,20241201
212,0,0,0,0,0,0,1,20241117,20241201
213,1,1,1,1,1,0,0,20241105,20241206
214,0,0,0,1,0,0,0,20241114,20241114
215,1,1,1,1,1,0,0,20241105,20241206
216,0,0,0,0,1,0,0,20241108,20241108
217,1,1,1,1,1,0,0,20241105,20241206
218,0,0,0,0,1,0,0,20241115,20241115
219,1,1,1,1,1,1,0,20241105,20241207
220,0,0,0,0,0,1,0,20241116,20241207
221,0,0,0,0,0,1,0,20241109,20241109
222,1,1,1,1,0,1,0,20241105,20241207
223,1,1,1,1,1,1,0,20241105,20241207
224,0,0,0,0,0,1,0,20241116,20241116
225,1,1,1,1,0,1,0,20241105,20241207
226,1,1,1,1,0,0,0,20241105,20241205
227,1,1,1,1,1,1,0,20241105,20241207
228,1,0,0,0,0,0,0,20241111,20241202
229,0,1,1,1,1,0,0,20241105,20241206
230,0,0,0,0,1,1,0,20241108,20241207
231,0,0,0,1,1,1,0,20241107,20241207
232,0,1,1,0,0,0,0,20241105,20241106
233,1,1,1,0,0,0,0,20241111,20241113
234,1,0,0,0,0,0,0,20241118,20241120
235,0,0,0,0,0,0,0,20241125,20241127
236,0,0,0,0,0,0,0,20241202,20241204
323,1,1,1,1,1,0,0,20241118,20250214
324,0,0,0,0,0,1,0,20241123,20250215
325,0,0,0,0,0,0,1,20241117,20250209
