service_id,date,exception_type
104,20250203,2
106,20241225,2
106,20250101,2
107,20241226,2
110,20250203,1
111,20250101,1
112,20241226,1
144,20241223,2
144,20241230,2
145,20241224,2
145,20241231,2
146,20241225,2
146,20250101,2
147,20241226,2
147,20250102,2
148,20241227,2
148,20250103,2
149,20241224,1
149,20241231,1
150,20250102,1
151,20241227,1
151,20250103,1
152,20241223,1
152,20241230,1
169,20250203,2
169,20250317,2
169,20250505,2
169,20250602,2
170,20241112,2
170,20241119,2
170,20241126,2
170,20241203,2
170,20241210,2
170,20241217,2
170,20241224,2
170,20241231,2
172,20241226,2
175,20241224,2
176,20241224,1
182,20250203,1
182,20250317,1
182,20250505,1
182,20250602,1
183,20250101,1
187,20241217,1
187,20250311,1
187,20250318,1
187,20250325,1
187,20250401,1
187,20250408,1
187,20250415,1
188,20241218,1
188,20250312,1
188,20250319,1
188,20250326,1
188,20250402,1
188,20250409,1
188,20250416,1
189,20241122,1
189,20241129,1
189,20241206,1
189,20241213,1
189,20241220,1
189,20250314,1
189,20250321,1
189,20250328,1
189,20250404,1
189,20250411,1
189,20250418,1
190,20241121,1
190,20241219,1
190,20250313,1
190,20250320,1
190,20250327,1
190,20250403,1
190,20250410,1
190,20250417,1
191,20241216,2
191,20241223,2
192,20241217,2
193,20241228,2
193,20250104,2
193,20250111,2
193,20250118,2
193,20250125,2
193,20250201,2
193,20250208,2
193,20250215,2
193,20250222,2
193,20250301,2
193,20250308,2
194,20241218,2
194,20241225,2
194,20250101,2
195,20241121,2
195,20241219,2
195,20241226,2
196,20241122,2
196,20241129,2
196,20241206,2
196,20241213,2
196,20241220,2
197,20241216,1
197,20241223,1
197,20250310,1
197,20250324,1
197,20250331,1
197,20250407,1
197,20250414,1
199,20241226,1
199,20250101,1
199,20250317,1
213,20241114,2
215,20241108,2
215,20241114,2
217,20241108,2
223,20241109,2
225,20241109,2
227,20241109,2
227,20241116,2
234,20241119,1
234,20241120,1
235,20241125,1
235,20241126,1
235,20241127,1
236,20241202,1
236,20241203,1
236,20241204,1
323,20241225,2
323,20241226,2
323,20250101,2
323,20250203,2
325,20241225,1
325,20241226,1
325,20250101,1
325,20250203,1
